id,Class
219129,0.0017815780360444743
219130,0.0021854457625272053
219131,0.001145942693174813
219132,0.003744673341254897
219133,0.0005953227593437291
219134,0.0021964204437810893
219135,0.001368777113024139
219136,0.0019054494451539155
219137,0.0034222497752944303
219138,0.0014963075065484329
219139,0.0015298423922209606
219140,0.0009984112511414915
219141,0.00252605230686927
219142,0.00029529635098080574
219143,0.0003968949966026181
219144,0.0022048591418073063
219145,0.02595345337197092
219146,0.001777932415097383
219147,0.004425010321155961
219148,0.0027029760714095243
219149,0.0015397525769539552
219150,0.004009974082408841
219151,0.002080104246916418
219152,0.008049079233591749
219153,0.011194467127064088
219154,0.0017533095443643134
219155,0.001851474097836079
219156,0.0027256975795299314
219157,0.0038073619962096282
219158,0.001847117210321672
219159,0.004225130920136667
219160,0.004582954405972051
219161,0.0014390613581329857
219162,0.003445779170255005
219163,0.0014971489078776565
219164,0.0017479828778661235
219165,0.0016929238863314226
219166,0.010645636933117215
219167,0.0002796137769079717
219168,0.0018486612466248422
219169,0.005211813259484247
219170,0.001567050566799988
219171,0.0023753625419456873
219172,0.006739899848058999
219173,0.0010180133265577343
219174,0.003466612954263668
219175,0.0024407602448435137
219176,0.008922807531614872
219177,0.002495776237488437
219178,0.005228410844165565
219179,0.005235906975370727
219180,0.003741455237786743
219181,0.0017692407412687795
219182,0.0027713122302141413
219183,0.0004117589122083311
219184,0.004018155233966761
219185,0.0009076119120457231
219186,0.001495399922764949
219187,0.0020135409187031945
219188,0.0038942463461398907
219189,0.0003321491241519869
219190,0.009029148143939314
219191,0.0023892395241649923
219192,0.004738223952867475
219193,0.00126212895575655
219194,0.0016925548566023526
219195,0.004223438468644406
219196,0.002771555426011278
219197,0.0009410882359508925
219198,0.004646726252111296
219199,0.0028334685611208304
219200,0.0014149809921587802
219201,0.014115419549003952
219202,0.002821294829680533
219203,0.002738941223561567
219204,0.0034964479074410166
219205,0.001284156107987507
219206,0.0038795603171018363
219207,0.0019407027837561913
219208,0.003695901129442952
219209,0.0005597887945336109
219210,0.003051461259573624
219211,0.0009001212318563608
219212,0.00047410214625222345
219213,0.003645658571274299
219214,0.0003968949966026181
219215,0.008902651157010711
219216,0.008059989327009937
219217,0.0010071221852514607
219218,0.0016918255935079896
219219,0.0024243515729210465
219220,0.0009410882359508925
219221,0.0019957617752908927
219222,0.002283321004814338
